NACHNAME;VORNAME;LIZENZNR;VEREIN;ELO_WERT;ELO_WERT_DELTA;PLATZIERUNG;ELO_KLASSIERUNG;ELO_KLASSIERUNG_HERREN
Gonzalez;Javier;600176;Binningen;995;-13.0;1334;6;6
Von Arx;Peter;800596;Baar;995;0.0;1335;6;6
Joshi;Chinmay;414024;Dübendorf-Volketswil;995;16.0;1336;6;6
Schembs;Patric;813028;Zug;995;0.0;1337;6;6
Kriech;Bruno;700168;Muolen;995;0.0;1338;6;6
Vilic;Reinhard;701759;St. Gallen;994;17.0;1339;6;6
Muster;Tseten;601873;Binningen;994;-13.0;1340;6;6
Marcarini;Marco;716064;Wädenswil;994;-39.0;1341;6;6
Finke;Marcel;608030;Bremgarten;993;-2.0;1342;5;5
Schafroth;Thomas;502871;Port;993;8.0;1343;5;5
Schüpbach;Stefan;502739;Ostermundigen;993;-6.0;1344;6;6
Lucchesi;Cédric;404050;Grône;993;24.0;1345;5;5
Bovay;Jérôme;409028;Montriond;993;26.0;1346;5;5
Luu;Van Huy;600928;Aesch;993;-5.0;1347;5;5
Brock;Matthias;708077;Pinguin Zuerich;993;-15.0;1348;6;6
Schärer;Roger;501545;Langenthal;992;16.0;1349;5;5
Cuthbertson;Andrew;816008;Reussbühl;992;-30.0;1350;5;5
Pezzi;Roland;400435;Eysins;992;44.0;1351;5;5
Sonderegger;Daniel;701578;Winterthur;992;-14.0;1352;6;6
Cambra;Roberto;214054;La Chaux-de-Fonds;992;19.0;1353;6;6
Lechner;Moritz;801119;Zug;992;26.0;1354;5;5
Miningou;Deo Cephas;413017;Yverdon;991;-6.0;1355;6;6
Früh;Christof;708164;Muolen;991;-29.0;1356;6;6
Sousa;Filipe;229044;Tramelan;991;-6.0;1357;6;6
Sieber;Markus;710122;Wolfhalden;991;-36.0;1358;6;6
Schreyer;Julien;218048;Nugerol-Le Landeron;990;0.0;1359;6;6
Treier;Patrick;600044;Aarau;990;-10.0;1360;6;6
Zufferey;Benoît;403386;Yvorne;990;0.0;1361;6;6
Ghezzi;Sandro;802139;Rapid Luzern;990;0.0;1362;6;6
Stalder;Matthias;601991;BW Rupperswil;989;13.0;1363;5;5
Thöni;Markus;602090;Schöftland;989;0.0;1364;5;5
Schlegel;Michael;914420;T-Card;989;0.0;1365;6;6
Staufer;Dominic;716101;Niederhasli;989;13.0;1366;5;5
Stegmann;Peter;500008;Düdingen;988;0.0;1367;5;5
