NACHNAME;VORNAME;LIZENZNR;VEREIN;ELO_WERT;ELO_WERT_DELTA;PLATZIERUNG;ELO_KLASSIERUNG;ELO_KLASSIERUNG_HERREN
Neuwerth;Anna-Ursula;701690;Chur;813;0.0;125;7;3
Boesinger;Myriam;614070;Trams-Renens;812;-24.0;126;7;3
Nadarajah;Tharcheka;509033;Hindelbank;812;-8.0;127;7;3
Lustenberger;Daniela;600653;Muri;811;0.0;128;7;3
Wagner;Clara;113014;Carouge;808;0.0;129;6;3
Eigenmann;Christine;600113;Oberwil;805;6.0;130;7;3
Kubli;Nathalie;702249;Wädenswil;802;0.0;131;6;3
Volkart;Kathrin;703370;Young Stars ZH;801;19.0;132;6;3
Moullet;Marie;414071;Lausanne;801;0.0;133;6;3
Gerber;Sandra;405501;Rossens;799;18.0;134;6;3
Giroud;Michèle;404031;Grône;798;-7.0;135;6;3
Levêque;Luan;412084;Gland;794;-31.0;136;7;3
Gutknecht-Schaad;Susanne;907009;Uster;793;2.0;137;6;3
Kindle;Christine;702737;Balzers;791;9.0;138;6;3
Muff;Dolores;601508;Muri;790;0.0;139;6;3
Bucher;Brigitte;502909;Burgdorf;788;-13.0;140;6;3
Watson;Monique;104030;Rapid-Genève;788;-3.0;141;6;3
Fischer;Severina;606070;Bremgarten;786;-18.0;142;6;3
Panza;Tessa;216054;La Chaux-de-Fonds;786;1.0;143;5;2
Reinkort;Kersti;117083;Bernex;786;0.0;144;6;3
Tobler;Vreni;701711;Imperial Winterthur;785;-8.0;145;6;3
Marti;Claire;222033;Omega;780;3.0;146;6;3
Handl;Sandra;703044;Uster;777;19.0;147;5;2
Di Venuto;Elisa;417032;Mézières;771;44.0;148;4;2
Arnhold;Kathrin;718077;Pinguin Zuerich;769;29.0;149;5;2
Engler-Böhm;Beatrice;500136;Regio Moossee;769;-6.0;150;6;3
Binder;Bettina;700250;Buchs Zürich;769;0.0;151;5;2
Meier;Carine;907091;Fribourg;768;16.0;152;5;2
Schmid;Elisabeth;601709;Lenzburg;766;0.0;153;5;2
Foletti;Sabrina;714050;Romanshorn;765;2.0;154;5;2
Delévaux;Auriane;105076;Châtelaine;759;9.0;155;5;2
Krummen;Astrid;617051;Oberwil;758;0.0;156;5;2
Gmeiner;Ursula;801282;Rothenburg;757;-5.0;157;5;2
Müller;Beatrice;700983;Oberrieden;754;-27.0;158;6;3
Büschi;Bénédicte;416033;Bulle;752;7.0;159;5;2
Heinen;Colette;115511;Silver Star;751;0.0;160;5;2
Persy;Gabriele;601701;Aesch;750;0.0;161;5;2
Böhm;Anke;615085;Zofingen;749;0.0;162;5;2
Keller;Selina;816055;Rapid Luzern;747;-10.0;163;5;2
Foletti-Surber;Michaela;702489;Romanshorn;745;-23.0;164;5;2
Hubnerova;Ester;115534;ZZ-Lancy;744;15.0;165;4;2
Rücker;Sandra;109076;Meyrin;741;23.0;166;4;2
Zbinden;Christina;500398;Grossaffoltern;736;0.0;167;5;2
Eisler;Nicole;711090;Flums;734;12.0;168;4;2
Nguyen;Phuong Trinh;416081;Lausanne;731;0.0;169;5;2
Acrostelli;Teresa;714199;St. Gallen;730;5.0;170;4;2
Zhou;Ruiyuan Jade;418076;Forward-Morges;728;85.0;171;2;1
Balmer;Sandra;503800;Stettlen;722;-8.0;172;5;2
Geissberger;Corinne;600003;Lenzburg;721;1.0;173;4;2
Künzli;Dagmar;700901;Uster;721;0.0;174;4;2
Gubser;Marianne;700038;Muolen;720;0.0;175;4;2
Chammartin;Véronique;403010;Rossens;718;11.0;176;4;2
Müller;Katrin;717038;Rorschach;718;-4.0;177;4;2
Keller Foletti;Barbara;702886;Romanshorn;718;-1.0;178;4;2
Scherrer;Andrea;600332;Breitenbach;717;0.0;179;4;2
Wey;Adriana;807041;Zug;717;-31.0;180;5;2
Troeder;Sarah;116076;UGS-Chênois;716;0.0;181;4;2
Hohl;Laura;711096;Kloten;716;-15.0;182;5;2
Schild;Yuriko;716106;Embrach;711;12.0;183;4;2
Yeo;Annabelle;117120;Silver Star;711;0.0;184;4;2
Angst;Jasmin;716062;Wädenswil;711;0.0;185;4;2
Leuenberger;Marianne;702854;Wetzikon;710;-14.0;186;4;2
Dong;Wenqing;215162;Lausanne;710;0.0;187;4;2
Schatzmann;Gabi;701975;Imperial Winterthur;710;-24.0;188;5;2
Arluna;Dominique;415421;Collombey/Muraz;709;1.0;189;4;2
Widmer;Uschi;701442;Buchs Zürich;709;2.0;190;4;2
Sierra;Lia;718124;Uster;707;98.0;191;1;1
Vogel;Melody;415998;Silver Star;703;25.0;192;3;2
Lötscher;Christina;801357;Rothenburg;703;5.0;193;4;2
Egli;Sabrina;701233;Steckborn-Homburg;701;10.0;194;4;2
Bruggmann;Sara;716076;Wil SG;699;8.0;195;4;2
Yeo;Isabelle;117121;Silver Star;695;0.0;196;4;2
Aydogan;Zeynep;115522;Silver Star;694;31.0;197;3;2
Schmid;Doris;600585;Möhlin;693;17.0;198;3;2
Wey;Jessica;408078;Rossens;691;0.0;199;4;2
Rieder;Kathrin;600177;Young Stars ZH;689;0.0;200;3;2
Pelka;Anna;718012;Kreuzlingen;688;-10.0;201;4;2
Menu;Marilyne;115341;Carouge;686;0.0;202;3;2
Luder;Iris;503244;Langnau;682;0.0;203;3;2
Gass;Martina;612039;Münchenstein-City;681;13.0;204;2;1
Roth-Rosser;Marion;501260;Wohlensee;681;11.0;205;3;2
Gougain;Susanne;501607;Port;679;7.0;206;2;1
Hermann;Martina;516011;Bern;679;5.0;207;3;2
Langwieser;Perla;317002;Locarno;678;-2.0;208;3;2
Cano;Miriam;709072;Buchs Zürich;675;10.0;209;2;1
Häusli;Annina;907191;Burgdorf;674;0.0;210;3;2
Schlumpf;Denise;702856;Urdorf;674;-8.0;211;3;2
Kühn;Emma;618084;Wettstein Basel;674;0.0;212;3;2
Hasse;Julia;615032;Bremgarten;673;-38.0;213;4;2
Hostettler;Margrit;500874;Schwarzenburg;672;8.0;214;3;2
Kehl;Katharina;500390;Grossaffoltern;671;0.0;215;3;2
Joller;Marlis;801304;Buochs;671;6.0;216;2;1
Stebler;Saskia;613052;Winznau;669;-13.0;217;3;2
Mühlemann-Haldimann;Christine;207093;Bern;669;0.0;218;3;2
Fraschini;Giulia;304073;Riva S.Vitale;668;-8.0;219;2;1
Rosset;Seraina;718007;Neuhausen;666;-12.0;220;3;2
Baeriswyl;Léane;118019;Châtelaine;666;48.0;221;1;1
Strahm-Crecco;Erika;503544;Burgdorf;665;-71.0;222;5;2
Lüthi;Andréa;504083;Wohlensee;664;0.0;223;3;2
Hoang-Rossire;Anh Dao;416019;Vevey;663;14.0;224;2;1
De Conto;Yvette;702927;Wädenswil;663;25.0;225;2;1
Lokhovitskivitski;Elisabeth;119094;Silver Star;662;17.0;226;2;1
Dong;Xintong;216010;Lausanne;661;0.0;227;3;2
Santa Cruz;Céline;118021;Châtelaine;659;36.0;228;1;1
Pham;Julia;516055;Thörishaus;658;9.0;229;3;2
Belgeri;Claudia;703574;Buchs Zürich;657;15.0;230;2;1
Flühmann;Angela;508042;Aarberg;656;-17.0;231;3;2
Surber;Wera;706007;Embrach;656;0.0;232;2;1
Fischbacher;Seline;908009;Thörishaus;654;20.0;233;1;1
Charmot;Isabelle;117033;ZZ-Lancy;654;-9.0;234;3;2
Douxchamps;Margot;214032;Cortaillod;653;22.0;235;1;1
Stoll;Yara;116077;ZZ-Lancy;651;-18.0;236;3;2
Thut;Eveline;715004;Bassersdorf;651;17.0;237;2;1
Degol;Nicole;207090;Côte Peseux;650;7.0;238;2;1
Fischer;Elisa;117125;Vernier;650;-3.0;239;2;1
Wenger;Melina;518025;Thörishaus;649;0.0;240;2;1
Prebeck;Lisa;515852;Lyss;649;-2.0;241;2;1
Aeberhard-Hübscher;Daniela;502377;Port;647;12.0;242;2;1
Hubl;Ruth;503699;Bern;646;14.0;243;2;1
André;Milla;119097;Silver Star;644;-1.0;244;2;1
Kiener;Jeannine;514029;Langnau;644;-54.0;245;3;2
Guedin;Sophie;411076;Lausanne;642;0.0;246;2;1
Holenstein;Marta;700489;St. Gallen;642;-20.0;247;2;1
Giezendanner;Maéva;118031;ZZ-Lancy;641;-33.0;248;3;2
Muster;Tashi;619063;Binningen;639;0.0;249;1;1
Boniface;Laurence;405117;Lausanne;638;38.0;250;1;1
Kunz;Ursula;700915;Oberrieden;637;19.0;251;1;1
Huber;Stephanie;704079;Buchs Zürich;636;13.0;252;1;1
Huber;Andrea;719034;Wetzikon;636;6.0;253;1;1
Delvecchio;Amélie;117087;ZZ-Lancy;635;35.0;254;1;1
Lisi;Fabienne;303003;Locarno;634;5.0;255;1;1
Innocente;Samira;719047;Urdorf;634;4.0;256;1;1
Wildberger;Jill;718143;Young Stars ZH;631;33.0;257;1;1
Leonhardt;Emma;119090;Châtelaine;630;0.0;258;1;1
Buchser;Céline;519005;Bern;630;0.0;259;1;1
Bornand;Sonia;419010;Lausanne;630;0.0;260;1;1
Schulz;Sabine;719046;Urdorf;630;0.0;261;1;1
Demierre;Mélanie;419016;Lausanne;630;0.0;262;1;1
Camponogara;Laurence;119048;ZZ-Lancy;630;0.0;263;1;1
Strahm;Inea;518034;Burgdorf;630;0.0;264;2;1
Jaccoud;Stéphanie;419054;Estavayer;630;0.0;265;1;1
Bensbih;Nadia;319004;Tenero;630;0.0;266;1;1
Hegner;Seraphina;719151;Wädenswil;630;0.0;267;1;1
Nussbaum;Sophia;619082;Oberwil;630;0.0;268;1;1
Gogniat;Maryline;219060;Delémont;630;0.0;269;1;1
Wenger;Alexandra;519025;Heimberg;630;0.0;270;1;1
Tassin;Dilana;419086;Lausanne;630;0.0;271;1;1
Greiner-Wang;Kangfen;619060;Binningen;630;0.0;272;1;1
Streitmatter;Naya;519023;Heimberg;630;0.0;273;1;1
Vullioud;Marie;119067;UGS-Chênois;630;0.0;274;1;1
Raschle;Tanja;719113;Affoltern A/A;630;0.0;275;1;1
Sury;Nora;519007;Bern;630;0.0;276;1;1
Capaul;Elena;618081;Frick;624;0.0;277;1;1
Bircher;Moana;619033;Bremgarten;623;-7.0;278;1;1
Irani;Roneesha;104080;Matran;623;23.0;279;1;1
Tschanz;Claudia;509026;Wohlensee;623;4.0;280;1;1
Theler;Isabelle;417047;Gampel-Steg;622;-3.0;281;1;1
Helfer;Joan;102360;Meyrin;622;22.0;282;1;1
Jeger;Astrid;602307;Möhlin;622;-10.0;283;2;1
Wang;Ning;118077;Carouge;622;0.0;284;1;1
Heimann;Lisa;418087;Domdidier;622;10.0;285;1;1
Hofmann;Daniela;619029;Wohlen;621;-9.0;286;1;1
Sangehot;Thawanrat;119028;Mandement;621;-9.0;287;1;1
Generowicz;Livia;118059;Châtelaine;621;21.0;288;1;1
Auer;Carmen;719036;Wetzikon;621;-9.0;289;1;1
Meier;Amira;718148;Kloten;621;39.0;290;1;1
Niederberger;Noa;619080;Aarau;620;-10.0;291;1;1
Homberg;Cécile;419013;Lausanne;620;-10.0;292;1;1
Buloz;Elodie;117096;Châtelaine;619;19.0;293;1;1
Fraefel;Theres;705204;Young Stars ZH;619;-23.0;294;3;2
Gerber;Megan;519024;Heimberg;619;-11.0;295;1;1
Ulrich;Ilvi;718091;Wädenswil;619;42.0;296;1;1
Waldmann;Marion;818029;Rapid Luzern;618;18.0;297;1;1
Balanche;Aude;117044;Puplinge;618;-11.0;298;1;1
Smely;Charlotte;709153;Buchs Zürich;618;0.0;299;1;1
Rüfenacht;Regula;502227;Bern;617;-17.0;300;2;1
Sperling;Katrin;613076;Muri;617;5.0;301;1;1
Schochet;Shaili;718146;Young Stars ZH;617;31.0;302;1;1
Völkel;Vanessa;618080;T-Card;615;0.0;303;1;1
Wellauer;Marion;507035;Stettlen;615;0.0;304;1;1
Hys;Jolanta;619019;Frick;615;-8.0;305;1;1
Bruggmann;Vanessa;617041;Olten;615;0.0;306;1;1
Stricker;Michèle Carmen;519014;Münsingen;614;-16.0;307;1;1
Carrascal Gallego;Laura;719139;St. Gallen;614;-16.0;308;1;1
Wallimann;Marie-Theres;800959;Sarnen;614;-5.0;309;1;1
Marti;Lauriane;209049;Omega;614;-13.0;310;1;1
Mastantuono;Chiara;419030;Sainte-Croix;612;-18.0;311;1;1
Miller;Karen;418029;Bulle;611;11.0;312;1;1
Monney;Angélique;405604;Domdidier;611;11.0;313;1;1
Kilchenmann;Adeline;219072;Nugerol-Le Landeron;611;-19.0;314;1;1
Huber;Angelina;719037;Wetzikon;609;-21.0;315;1;1
Barrio;Maria;718097;Thalwil;609;-18.0;316;1;1
Zumstein;Patricia;816005;Sarnen;608;8.0;317;1;1
Burri;Tanja;619014;Breitenbach;608;-22.0;318;1;1
Bolliger;Silvia;801550;Rapid Luzern;607;-11.0;319;1;1
Leroy;Pauline;419022;Lausanne;607;-23.0;320;1;1
Pink;Chantal;414274;Lausanne;607;-11.0;321;1;1
Pirnog;Mara;819013;Baar;607;-23.0;322;1;1
Sorrentino;Léana;118108;UGS-Chênois;607;7.0;323;1;1
Dübendorfer;Victoria;719094;Winterthur;607;-23.0;324;1;1
Bourban;Tania;405558;Grône;606;-5.0;325;1;1
Vogel;Naomi;118047;Silver Star;606;6.0;326;1;1
Kägi;Jasmin Sarah;705182;Bassersdorf;606;0.0;327;1;1
Delvecchio;Ella;118014;ZZ-Lancy;605;5.0;328;1;1
Cerise;Erika;402095;Montreux-Riviera;604;4.0;329;1;1
Colat;Helena;701648;Embrach;604;4.0;330;1;1
Igeta;Mira;119089;Châtelaine;604;-26.0;331;1;1
Patra;Akhyata;719014;Neuhausen;602;-28.0;332;1;1
Vieyres;Justine;416063;Forward-Morges;602;2.0;333;1;1
Santana;Mariana;617025;Basel;601;1.0;334;1;1
Stalder-Ou;Intha;509032;bls Spiez;601;6.0;335;1;1
Schneider;Nathalie;505055;Thörishaus;601;0.0;336;1;1
Vuille;Reine-Claude;100678;Puplinge;601;-29.0;337;1;1
Wey;Carina;807019;Zug;600;0.0;338;1;1
Käslin;Andrea;814009;Buochs;600;0.0;339;1;1
Zhou;Ruiwen Jasmine;418075;Forward-Morges;600;0.0;340;1;1
Schmelzer;Sabine;607081;Sisseln;600;0.0;341;1;1
Fahrni;Thérèse;408079;Rossens;600;0.0;342;1;1
Handel;Irene;700150;Bassersdorf;600;0.0;343;1;1
Anspach;Emma;118060;Vernier;600;0.0;344;1;1
Phan;Michelle;517033;Köniz;600;0.0;345;1;1
Oberhansli;Thitia;118087;UGS-Chênois;600;0.0;346;1;1
Tschanen;Isabelle;712079;Imperial Winterthur;600;0.0;347;1;1
Flöer;Brigitte;616009;Lenzburg;600;0.0;348;1;1
Meister;Julia;500100;Pieterlen;600;0.0;349;1;1
Abalakova;Daria;514014;Worb;600;0.0;350;1;1
Lüthi;Janina;515849;Lyss;600;0.0;351;1;1
Pasche;Bettina;405393;Chexbres;600;0.0;352;1;1
Jäggi;Manuela;502698;Studen;600;0.0;353;1;1
Pittini;Yuki;217083;Omega;600;0.0;354;1;1
Ferati;Rachel;217007;Côte Peseux;599;-1.0;355;1;1
Reutlinger;Chantal;703111;Steckborn-Homburg;598;-2.0;356;1;1
Lucchesi;Sabrina;405688;Grône;598;-2.0;357;1;1
Berger;Elisabeth;500414;Utzenstorf;597;-33.0;358;1;1
Elkuch;Roswitha;715136;Ruggell;597;-3.0;359;1;1
Ramseyer;Stephanie;718116;Horgen;597;-24.0;360;1;1
Stäheli;Gerda;716140;Zürich-Affoltern;596;-4.0;361;1;1
Imhof;Fabia;600281;Diepflingen;596;-4.0;362;1;1
Pochon;Virginie;117029;ZZ-Lancy;596;-4.0;363;1;1
Müller;Pia;705123;Bronschhofen;595;0.0;364;1;1
Garavaldi;Priscilla;719065;Meilen-Männedorf;595;-35.0;365;1;1
Bechtiger;Franziska;703275;Toggenburg;595;0.0;366;1;1
Keller;Sigrid;701434;Imperial Winterthur;594;-6.0;367;1;1
Brusini;Séverine;914280;Carouge;594;-6.0;368;1;1
Margetic;Katarina;718020;Neuhausen;592;-8.0;369;1;1
Gomez Vesga;Patricia;418014;Lausanne;591;-9.0;370;1;1
Jeanmonod;Catherine;402108;Yverdon;590;-10.0;371;1;1
Siegenthaler;Annelise;518006;Bern;590;-10.0;372;1;1
Sottaz;Pauline;418093;Domdidier;589;-11.0;373;1;1
Dietler;Regula;601338;Breitenbach;588;0.0;374;1;1
Laager;Emma;819020;Rapid Luzern;588;-42.0;375;1;1
Fang;Yaping;811041;Rotkreuz;587;0.0;376;1;1
Girardin;Marion;418079;Forward-Morges;587;-13.0;377;1;1
Waldmann;Sarah;407057;Penthalaz;587;-13.0;378;1;1
Oppermann;Petra;514011;Grossaffoltern;586;-14.0;379;1;1
Philippi;Corinne;117034;Versoix;585;-15.0;380;1;1
Thut;Manuela;705108;Bassersdorf;585;-15.0;381;1;1
Jaeggi;Amy;718114;Horgen;584;-16.0;382;1;1
Kleinferchner;Lovisa;618067;Wettingen;584;0.0;383;1;1
Mirza;Sarina;819012;Baar;584;-46.0;384;1;1
Monney;Eveline;404285;Domdidier;583;-17.0;385;1;1
Favre;Corinne;105068;Carouge;582;-18.0;386;1;1
Marchon;Josiane;403320;Matran;581;-19.0;387;1;1
Temperli-Meier;Yvonne;701060;Oberrieden;581;-19.0;388;1;1
Schreiber;Pia;615023;Basel;581;-18.0;389;1;1
Cifrek;Julia;615024;Basel;581;-19.0;390;1;1
Jaloul;Elena;419027;Montreux-Riviera;581;-49.0;391;1;1
Crisinel;Hanelore;400805;Lausanne;581;-19.0;392;1;1
Leu;Edith;700598;Bronschhofen;580;-3.0;393;1;1
Klee;Cornelia;517035;Kirchberg;580;-19.0;394;1;1
Dorbierer;Mia;119033;Mandement;580;-50.0;395;1;1
Altomare;Lorena;518055;Lyss;578;-22.0;396;1;1
Wälti;Hanni;501817;Lyss;578;-17.0;397;1;1
Meuwly;Ruth;503399;Schmitten;578;-22.0;398;1;1
Jaggy;Svenja;617031;Rio-Star Muttenz;578;-22.0;399;1;1
Sadiku;Erina;718126;Uster;577;-23.0;400;1;1
De Martin;Alessia Mara;617087;Schöftland;577;-10.0;401;1;1
Osterwalder;Susanne;815125;Rotkreuz;577;-9.0;402;1;1
Gaille;Valérie;405793;Dorénaz;577;-53.0;403;1;1
Blanc;Françoise;400930;Lausanne;576;-24.0;404;1;1
Frie;Julia;618026;Schöftland;576;-11.0;405;1;1
Kleinferchner;Isabelle;616064;Wettingen;574;-26.0;406;1;1
Samarasinghe;Sithmi;818051;Kriens;573;-27.0;407;1;1
Choudhury;Arushi;618085;Wettstein Basel;572;-28.0;408;1;1
Métral;Naomie;419062;Rolle;571;-59.0;409;1;1
Cordey;Marie-Thérèse;403314;Matran;571;-29.0;410;1;1
Nerandzic;Mirjana;118125;Veyrier;571;-29.0;411;1;1
Monnier;Eve;217002;Omega;571;-25.0;412;1;1
